iter	top_quantile_trade	RMSE	R2	MAE
0	0.07141636957	1.283751765	0.0001249216795	1.109169864
1	0.09855842645	1.28365025	0.0002830492989	1.109129107
2	0.1214522884	1.283585281	0.0003842439662	1.109075765
3	0.1318392558	1.283526307	0.0004760963193	1.109028874
4	0.1451318212	1.283429123	0.0006274505737	1.108979635
5	0.160620463	1.283353554	0.000745134372	1.108919008
6	0.1634698952	1.283235564	0.0009288656965	1.108795265
7	0.2003570317	1.283180357	0.001014828194	1.108733922
8	0.1927082304	1.283132997	0.001088568169	1.108739467
9	0.2249240327	1.283042493	0.001229476873	1.108716963
10	0.2245549521	1.282987608	0.001314924521	1.108634826
11	0.1990225576	1.282930192	0.001404308875	1.108596375
12	0.2061189427	1.282847215	0.001533477469	1.108506314
13	0.2183313681	1.282778896	0.001639823446	1.108429446
14	0.242613233	1.282730593	0.001715008708	1.108381911
15	0.2445093606	1.282647006	0.001845107318	1.108338619
16	0.2415037113	1.282586208	0.001939731744	1.108335326
17	0.2712073659	1.282542341	0.002008000526	1.108309398
18	0.2841276931	1.282495524	0.002080859623	1.108291823
19	0.2628246666	1.282403089	0.002224702926	1.108233974
20	0.2406213124	1.282336402	0.002328473147	1.108196689
21	0.272581343	1.282209733	0.002525562402	1.108067368
22	0.325843936	1.282123342	0.002659970669	1.108026133
23	0.321174344	1.282023234	0.00281570947	1.107980167
24	0.3347565952	1.281944815	0.002937697846	1.107883745
25	0.340520843	1.281885483	0.003029988743	1.107825479
26	0.3476127561	1.281840386	0.003100135115	1.10777989
27	0.3550789451	1.281760375	0.003224580938	1.107713044
28	0.3419329882	1.281679941	0.003349678251	1.107655845
29	0.3937077272	1.281600425	0.003473339567	1.10759057
30	0.3826824104	1.281474766	0.003668745438	1.107494162
31	0.3915204233	1.281415822	0.003760401283	1.107432454
32	0.412643862	1.281342114	0.003875006045	1.107355565
33	0.4328956032	1.281277241	0.003975869481	1.107262857
34	0.4080090362	1.281237274	0.00403800667	1.107221783
35	0.4146769573	1.281196917	0.004100747779	1.107187666
36	0.4273157044	1.281124369	0.004213530377	1.107161584
37	0.4023458735	1.281043127	0.004339821505	1.107089036
38	0.4070147578	1.280982486	0.004434083262	1.107036578
39	0.4094835363	1.280931585	0.004513200511	1.106976761
40	0.4000471024	1.280896208	0.004568186155	1.106940381
41	0.4185098121	1.280814205	0.004695638409	1.106870966
42	0.4209983543	1.280737724	0.00481449864	1.106770067
43	0.4130062873	1.280695251	0.004880504924	1.106726186
44	0.4077633903	1.280609857	0.005013204472	1.106643363
45	0.4132877354	1.280530531	0.005136467962	1.106578812
46	0.4285080185	1.280455368	0.005253255382	1.106539993
47	0.4245730169	1.280405993	0.005329968821	1.106490195
48	0.4241891283	1.280367509	0.005389760351	1.106455255
49	0.4187871211	1.280329441	0.005448903195	1.106411211
50	0.4377861851	1.280272062	0.005538044873	1.106336607
51	0.4437841114	1.280190859	0.005664191218	1.106280564
52	0.441396053	1.28013204	0.005755558661	1.106214231
53	0.4342235892	1.280089429	0.00582174791	1.106158508
54	0.4360125622	1.28001181	0.005942309197	1.106090486
55	0.4507258167	1.279947404	0.006042341479	1.106034912
56	0.4575936373	1.279889625	0.006132077209	1.105966984
57	0.4484982637	1.279772901	0.006313348774	1.105873381
58	0.4481041305	1.279705982	0.006417264989	1.1058087
59	0.4449690276	1.279674764	0.006465740234	1.105804886
60	0.4516246391	1.279623897	0.006544724388	1.105776596
61	0.446514215	1.279546068	0.006665568591	1.10570013
62	0.4514884308	1.279507262	0.006725819414	1.105677863
63	0.451662106	1.279418654	0.006863386371	1.105596136
64	0.4468796676	1.279287915	0.007066345585	1.105544665
